election_id,district_name,district_id,source_page,source_url,source_sha256,candidate_order,candidate_name,party_raw,independent_status,party_family,first_preference_votes,formal_votes,district_reconciled
vic_la_2010,Bendigo East,bendigo-east,175,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,7,"BARDSLEY, Tim",AUSTRALIAN GREENS,False,Greens,2295,36667,True
vic_la_2010,Bendigo East,bendigo-east,175,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,8,"STEWART, James",D.L.P. - DEMOCRATIC LABOR PARTY,False,Other/Independent,412,36667,True
vic_la_2010,Bendigo East,bendigo-east,175,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,9,"SCHWARZ, Peter",THE NATIONALS,False,Coalition,2196,36667,True
vic_la_2010,Bendigo West,bendigo-west,178,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,1,"PHILLIPS, Trevor",COUNTRY ALLIANCE,False,Other/Independent,1328,36682,True
vic_la_2010,Bendigo West,bendigo-west,178,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,2,"WINTLE, Frances",FAMILY FIRST,False,Other/Independent,671,36682,True
vic_la_2010,Bendigo West,bendigo-west,178,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,3,"OLIVER, Steven",THE NATIONALS,False,Coalition,7965,36682,True
vic_la_2010,Bendigo West,bendigo-west,178,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,4,"FOSTER, Anne Lorraine",CHRISTIAN PARTY,False,Other/Independent,361,36682,True
vic_la_2010,Bendigo West,bendigo-west,178,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,5,"RADFORD, Sue-Ellen",AUSTRALIAN GREENS,False,Greens,3999,36682,True
vic_la_2010,Bendigo West,bendigo-west,178,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,6,"EDWARDS, Maree",AUSTRALIAN LABOR PARTY,False,ALP,14431,36682,True
vic_la_2010,Bendigo West,bendigo-west,178,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,7,"DONLON, Anita",LIBERAL,False,Coalition,7343,36682,True
